transaction_id,customer_name,start_date,end_date,product_family,region,account_owner,bookings,term_days,arr
6212,"Dietrich, Larson and Murazik",2021-10-08,2026-10-07,Classic,Europe,Christopher Little,197170,1825,39434.0
2621,"Roob, Bogisich and Hegmann",2020-03-09,2021-03-09,Elite Plus,North America,Marsha Aguilar,39201,365,39201.0
5001,Wehner and Sons,2020-04-29,2021-04-28,Elite Plus,North America,Lonnie May,38850,364,38956.73
6251,"Schoen, Hudson and SchamBundelr",2021-12-01,2022-11-30,Elite Plus,North America,Tomas Glover,38843,364,38949.71
7304,West-Witting,2019-02-06,2020-02-05,Classic,North America,Celia Clayton,38486,364,38591.73
4943,Lesch - Johnston,2022-10-30,2023-10-29,Elite Plus,North America,Tomas Glover,38303,364,38408.23
651,"Goodwin, O'Reilly and Buckridge",2020-07-27,2021-07-26,Elite Plus,North America,Judy Jacobs,37541,364,37644.13
7004,Herman Group,2019-05-14,2020-05-13,Elite Plus,Europe,Dana Henderson,37380,365,37380.0
7550,"Bechel, Ondricka and Abbott",2019-03-18,2020-03-17,Classic,Asia,Frankie Fletcher,37321,365,37321.0
7193,Chechauski-Shields,2019-07-28,2020-07-27,Elite Plus,Europe,Tomas Glover,37310,365,37310.0
4138,Reichert - Hirthe,2020-01-28,2021-01-27,Elite Plus,North America,Alice Cole,36867,365,36867.0
5648,"Stiedemann, Labadie and Prosacco",2023-11-21,2024-11-20,Elite Plus,North America,Ramon Garcia,36688,365,36688.0
1206,Ullrich - Greenfelder,2021-04-10,2021-10-09,Elite Plus,North America,Marsha Aguilar,18228,182,36556.15
335,Pouros - Ward,2021-03-19,2022-03-18,Elite Plus,North America,Karl Long,36142,364,36241.29
4153,Reichert - Hirthe,2020-11-08,2021-11-07,Elite Plus,North America,Alice Cole,35828,364,35926.43
1149,"Hahn, Nienow and Baumbach",2021-09-04,2022-09-03,Classic,Asia,Christopher Little,35793,364,35891.33
2925,"Bartell, Cremin and Kuvalis",2021-11-14,2023-11-14,Classic,Latin America,Marsha Aguilar,71427,730,35713.5
1409,Cronin - Lehner,2022-02-14,2023-02-13,Elite Plus,North America,Karl Long,35295,364,35391.96
2830,Hilpert and Sons,2022-11-18,2023-11-17,Elite Plus,North America,Marsha Aguilar,35206,364,35302.72
1493,Sawayn - Ortiz,2021-02-13,2022-02-12,Elite Plus,Europe,Karl Long,34818,364,34913.65
329,Pouros - Ward,2020-04-07,2021-04-06,Elite Plus,North America,Karl Long,34538,364,34632.88
7144,"Effertz, Lind and Auer",2018-12-26,2019-12-25,Classic,North America,Micheal Williams,34245,364,34339.08
3500,McCullough - Albertson,2021-04-13,2022-04-12,Elite Plus,North America,Ross Hines,34230,364,34324.04
3166,Huel LLC,2021-08-08,2022-08-07,Elite Plus,Europe,Marshall Lawson,33806,364,33898.87
3504,McCullough - Albertson,2021-01-06,2022-01-05,Elite Plus,North America,Ross Hines,33670,364,33762.5
6248,"Schoen, Hudson and SchamBundelr",2021-06-26,2021-09-25,Elite Plus,North America,Tomas Glover,8409,91,33728.41
2642,"Mayert, Murazik and Ernser",2022-06-28,2023-06-26,Classic,North America,Jerald James,33259,363,33442.25
3164,Huel LLC,2020-08-16,2021-08-15,Elite Plus,Europe,Marshall Lawson,33293,364,33384.46
1150,"Hahn, Nienow and Baumbach",2021-06-16,2022-06-16,Classic,Asia,Christopher Little,33234,365,33234.0
2924,"Bartell, Cremin and Kuvalis",2021-09-22,2021-10-22,Classic,Latin America,Marsha Aguilar,2726,30,33166.33
3496,McCullough - Albertson,2019-12-11,2020-12-09,Elite Plus,North America,Ross Hines,33070,364,33160.85
4121,Terry - Dickens,2021-07-18,2022-07-17,Elite Plus,North America,Jerald James,32730,364,32819.92
2623,"Roob, Bogisich and Hegmann",2020-10-18,2021-10-17,Elite Plus,North America,Marsha Aguilar,32413,364,32502.05
1857,Grant LLC,2021-08-06,2022-08-05,Elite Plus,North America,Karl Long,32185,364,32273.42
6599,Ondricka - Casper,2021-09-07,2022-09-06,Elite Plus,North America,Sonja Griffin,31765,364,31852.27
5340,Schmeler - Little,2020-08-21,2021-08-20,Elite Plus,Europe,Frankie Fletcher,31652,364,31738.96
7039,Flatley Ltd,2019-05-16,2020-05-15,Elite Plus,North America,Alton Hunt,31669,365,31669.0
8250,"Rath, Harris and Beatty",2019-11-23,2020-09-22,Classic,Europe,Ramon Garcia,26374,304,31666.15
2970,Schaden Group,2020-11-27,2021-11-26,Elite Plus,Europe,Alice Cole,31541,364,31627.65
4886,Gammendor - Agarwal,2020-04-10,2021-04-09,Elite Plus,Latin America,Lonnie May,31282,364,31367.94
2340,Graham and Sons,2021-05-04,2024-05-03,Classic,North America,Angelo Payne,93605,1095,31201.67
455,Leuschke Group,2020-02-24,2020-08-25,Elite Plus,North America,Grant Cortez,15610,183,31134.7
1602,Parisian - Gorczany,2020-11-05,2020-12-02,Classic,North America,Alton Hunt,2254,27,30470.74
1373,Zieme Group,2021-12-14,2022-01-02,Elite Plus,North America,Alton Hunt,1575,19,30256.58
133,Benjamin Batterbond,2021-10-02,2021-11-01,Classic,North America,Ramon Garcia,2484,30,30222.0
6597,Ondricka - Casper,2021-11-25,2022-11-24,Elite Plus,North America,Sonja Griffin,30041,364,30123.53
6527,Douglas - Kozey,2021-10-02,2022-10-01,Classic,North America,Karl Long,29727,364,29808.67
4942,Lesch - Johnston,2021-10-06,2022-10-05,Elite Plus,North America,Tomas Glover,29653,364,29734.46
2977,Schaden Group,2023-01-12,2024-01-11,Elite Plus,Europe,Alice Cole,29466,364,29546.95
5642,"Stiedemann, Labadie and Prosacco",2022-09-20,2023-09-19,Elite Plus,North America,Ramon Garcia,29273,364,29353.42
7,Towne - Kub,2020-05-17,2021-05-16,Classic,Europe,Alton Hunt,29222,364,29302.28
1376,Zieme Group,2021-01-07,2022-01-06,Elite Plus,North America,Alton Hunt,29124,364,29204.01
5645,"Stiedemann, Labadie and Prosacco",2023-08-03,2024-08-02,Elite Plus,North America,Ramon Garcia,29149,365,29149.0
2153,"Kautzer, Mante and Agarwal",2019-10-17,2020-10-16,Elite Plus,North America,Jerald James,29029,365,29029.0
6362,"Torp, Bosco and Agarwal",2020-11-21,2021-11-20,Elite Plus,North America,Christopher Little,28764,364,28843.02
2641,"Mayert, Murazik and Ernser",2023-09-21,2024-09-20,Classic,North America,Jerald James,28796,365,28796.0
1207,Ullrich - Greenfelder,2021-06-20,2021-12-19,Elite Plus,North America,Marsha Aguilar,14286,182,28650.49
10,Towne - Kub,2021-07-25,2021-09-09,Classic,Europe,Alton Hunt,3609,46,28636.63
1974,Davis and Sons,2020-11-15,2021-11-14,Elite Plus,North America,Aloyna Gregory,28550,364,28628.43
536,"Turcotte, Feest and Windler",2019-11-26,2020-11-25,Elite Plus,Europe,Frankie Fletcher,28589,365,28589.0
4931,Lesch - Johnston,2020-04-12,2021-04-11,Elite Plus,North America,Tomas Glover,28479,364,28557.24
1324,Stiedemann Group,2021-02-17,2023-12-25,Classic,North America,Alice Cole,81049,1041,28417.76
4470,Zemlak Group,2020-05-02,2021-05-01,Elite Plus,North America,Celia Clayton,28070,364,28147.12
2364,"Veum, Pollich and Kuvalis",2021-02-22,2022-02-21,Elite Plus,Europe,Frankie Fletcher,28003,364,28079.93
2049,Herzog - Donnelly,2020-12-18,2022-12-17,Elite Plus,North America,Phil Baker,55835,729,27955.8
1860,Grant LLC,2021-06-09,2022-06-08,Elite Plus,North America,Karl Long,27695,364,27771.09
6368,"Torp, Bosco and Agarwal",2021-12-02,2022-12-01,Elite Plus,North America,Christopher Little,27561,364,27636.72
315,Pagac Group,2021-05-13,2024-05-12,Elite Plus,North America,Karl Long,82839,1095,27613.0
3167,Huel LLC,2022-09-10,2023-09-09,Elite Plus,Europe,Marshall Lawson,27365,364,27440.18
1864,"Kassulke, Fritsch and Lebsack",2021-07-02,2022-06-29,Elite Plus,North America,Jerald James,27067,362,27291.31
3591,Gottlieb - Huel,2021-05-19,2025-05-18,Classic,Europe,Grant Cortez,108783,1460,27195.75
5033,"Goyette, Reichert and Parker",2021-06-10,2023-06-09,Elite Plus,North America,Alton Hunt,53570,729,26821.74
2976,Schaden Group,2023-01-27,2024-01-26,Elite Plus,Europe,Alice Cole,26652,364,26725.22
6358,Collier LLC,2021-01-26,2022-01-25,Elite Plus,North America,Phil Baker,26587,364,26660.04
1347,Stoltenberg LLC,2020-12-30,2023-12-29,Elite Plus,North America,Angelo Payne,79772,1094,26614.97
6546,"Wisoky, Kuhic and Herman",2022-12-22,2023-01-23,Elite Plus,North America,Patty Ingram,2333,32,26610.78
6601,Ondricka - Casper,2021-07-15,2021-10-17,Elite Plus,North America,Sonja Griffin,6833,94,26532.39
6246,"Schoen, Hudson and SchamBundelr",2020-05-13,2021-05-12,Elite Plus,North America,Tomas Glover,26302,364,26374.26
5405,"Collier, Ortiz and Marquardt",2020-10-23,2021-10-22,Classic,North America,Ramon Garcia,26084,364,26155.66
2005,Bradtke and Sons,2020-07-11,2023-07-10,Elite Plus,North America,Sonja Griffin,78354,1094,26141.87
5337,Schmeler - Little,2021-05-21,2022-05-20,Elite Plus,Europe,Frankie Fletcher,26069,364,26140.62
7234,"Schulist, Luettgen and Miller",2018-09-23,2019-09-22,Classic,North America,Jerald James,25780,364,25850.82
509,"Fay, Hauck and Oberbrunner",2021-10-24,2024-10-23,Classic,North America,Alton Hunt,77092,1095,25697.33
3163,Huel LLC,2020-07-16,2021-07-15,Elite Plus,Europe,Marshall Lawson,25357,364,25426.66
5611,Funk LLC,2020-05-11,2021-05-10,Elite Plus,Europe,Tomas Glover,25301,364,25370.51
6320,"Wunsch, Rogahn and Reinger",2020-11-29,2021-11-28,Elite Plus,North America,Dana Henderson,25288,364,25357.47
6587,Ondricka - Casper,2020-08-23,2021-08-22,Elite Plus,North America,Sonja Griffin,25241,364,25310.34
2829,Hilpert and Sons,2021-11-14,2022-11-13,Elite Plus,North America,Marsha Aguilar,25087,364,25155.92
3234,Vandervort - Upton,2021-01-05,2022-01-04,Elite Plus,North America,John Sacker,25061,364,25129.85
2485,Schmidt - McClure,2021-07-13,2021-08-12,Classic,Latin America,Phil Baker,2064,30,25112.0
2365,"Veum, Pollich and Kuvalis",2021-04-09,2022-04-08,Elite Plus,Europe,Frankie Fletcher,25032,364,25100.77
6323,"Wunsch, Rogahn and Reinger",2021-08-02,2022-08-01,Elite Plus,North America,Dana Henderson,24963,364,25031.58
113,"Hayes, Wilderman and Cremin",2021-06-22,2021-07-22,Classic,Latin America,Alton Hunt,2053,30,24978.17
6640,"Oberbrunner, Ritchie and Labadie",2022-02-09,2023-02-08,Elite Plus,Europe,Cecelia Burgess,24907,364,24975.43
1445,"Schneider, Champlin and O'Connell",2021-03-20,2022-03-19,Elite Plus,North America,Micheal Williams,24763,364,24831.03
6349,"Crist, Ondricka and DuBuque",2019-12-06,2020-12-04,Elite Plus,North America,Karl Long,24674,364,24741.79
1203,Ullrich - Greenfelder,2020-11-23,2021-05-23,Elite Plus,North America,Marsha Aguilar,12099,181,24398.54
4991,Ortiz - Ponting,2021-02-20,2022-02-19,Elite Plus,Europe,Aloyna Gregory,24154,364,24220.36
4775,"Hermiston, Weimann and Lemke",2020-01-26,2021-01-25,Elite Plus,North America,Ross Hines,24147,365,24147.0
3265,Reynolds - Goodwin,2021-05-31,2022-05-30,Elite Plus,North America,Cecelia Burgess,24001,364,24066.94
5480,Metz Inc,2020-09-15,2021-09-14,Elite Plus,North America,Patty Ingram,23845,364,23910.51
6014,Hyatt and Sons,2020-04-14,2021-04-13,Elite Plus,North America,Christopher Little,23808,364,23873.41
2972,Schaden Group,2022-03-06,2023-03-05,Elite Plus,Europe,Alice Cole,23699,364,23764.11
6526,Douglas - Kozey,2021-08-09,2021-09-08,Classic,North America,Karl Long,1934,30,23530.33
173,Frami Group,2021-02-07,2022-02-06,Elite Plus,North America,John Sacker,23390,364,23454.26
6439,Hickle - Ernser,2021-01-17,2022-01-16,Classic,North America,Sonja Griffin,23356,364,23420.16
1733,Smitham Group,2021-03-05,2022-03-04,Classic,North America,Jerald James,23291,364,23354.99
7927,West-Witting,2020-01-19,2021-01-18,Classic,North America,Celia Clayton,23333,365,23333.0
2973,Schaden Group,2021-12-20,2022-12-19,Elite Plus,Europe,Alice Cole,23146,364,23209.59
110,"Hayes, Wilderman and Cremin",2021-04-11,2021-05-10,Classic,Latin America,Alton Hunt,1844,29,23208.97
5633,"Stiedemann, Labadie and Prosacco",2022-10-04,2023-10-03,Elite Plus,North America,Ramon Garcia,23119,364,23182.51
377,Gislason Group,2021-09-17,2022-04-11,Classic,North America,Christopher Little,13013,206,23057.01
6938,Stanton-Bednar,2019-05-16,2020-05-15,Classic,Latin America,Celia Clayton,22993,365,22993.0
2927,"Bartell, Cremin and Kuvalis",2021-07-15,2021-08-14,Classic,Latin America,Marsha Aguilar,1887,30,22958.5
3101,"D'Amore, Bernier and Canten",2020-01-07,2021-01-06,Elite Plus,Europe,Alton Hunt,22909,365,22909.0
6322,"Wunsch, Rogahn and Reinger",2020-10-28,2021-10-27,Elite Plus,North America,Dana Henderson,22833,364,22895.73
2487,Schmidt - McClure,2021-06-23,2021-07-22,Classic,Latin America,Phil Baker,1818,29,22881.72
3976,"Hessel, Koss and Littel",2021-10-28,2021-11-26,Classic,North America,Karl Long,1817,29,22869.14
115,"Hayes, Wilderman and Cremin",2021-04-17,2021-05-16,Classic,Latin America,Alton Hunt,1814,29,22831.38
120,Benjamin Batterbond,2020-08-04,2021-08-03,Classic,North America,Ramon Garcia,22710,364,22772.39
4361,Jerde - Raynor,2022-04-07,2023-04-06,Elite Plus,North America,Celia Clayton,22593,364,22655.07
3313,"Mackerrel, Schroeder and Gutkowski",2021-06-12,2022-06-11,Elite Plus,North America,Tomas Glover,22566,364,22627.99
347,"Schmidt, Weissnat and Fritsch",2021-08-17,2022-08-16,Elite Plus,North America,Angelo Payne,22561,364,22622.98
1976,Davis and Sons,2021-08-25,2022-08-24,Elite Plus,North America,Aloyna Gregory,22340,364,22401.37
6354,"Crist, Ondricka and DuBuque",2021-03-11,2022-03-10,Elite Plus,North America,Karl Long,22280,364,22341.21
4359,Jerde - Raynor,2021-09-20,2022-09-19,Elite Plus,North America,Celia Clayton,22136,364,22196.81
687,"Goodwin, O'Reilly and Buckridge",2023-05-23,2024-05-22,Elite Plus,North America,Judy Jacobs,22118,365,22118.0
6623,Hartmann Group,2021-02-02,2024-02-01,Elite Plus,Asia,Walter Sacha,66033,1094,22031.12
5375,Dicki - Wilderman,2020-01-12,2021-01-11,Elite Plus,North America,John Sacker,21929,365,21929.0
2491,Schmidt - McClure,2021-06-05,2021-07-05,Classic,Latin America,Phil Baker,1799,30,21887.83
1882,Gleason Group,2020-01-22,2021-01-21,Elite Plus,Europe,Lonnie May,21772,365,21772.0
977,"Lubowitz, Franecki and Schuster",2021-11-16,2022-05-15,Elite Plus,Latin America,John Sacker,10725,180,21747.92
5721,Feil - Breitenberg,2021-07-29,2022-07-28,Elite Plus,North America,Judy Jacobs,21639,364,21698.45
444,Keebler Inc,2020-07-11,2022-07-10,Classic,Latin America,Phil Baker,43223,729,21641.15
3635,"Macejkovic, Bosco and Buckridge",2021-01-30,2022-01-29,Elite Plus,North America,Tomas Glover,21459,364,21517.95
5956,Schuster and Sons,2022-11-02,2023-11-01,Elite Plus,North America,John Sacker,21306,364,21364.53
1494,Sawayn - Ortiz,2021-07-05,2022-07-04,Elite Plus,Europe,Karl Long,21258,364,21316.4
5613,Funk LLC,2021-09-04,2022-09-03,Elite Plus,Europe,Tomas Glover,21248,364,21306.37
1460,Heathcote Inc,2021-03-11,2022-03-10,Elite Plus,North America,Patty Ingram,21108,364,21165.99
5674,Pagac - Fay,2020-11-03,2021-11-02,Elite Plus,North America,Cecelia Burgess,21039,364,21096.8
374,Gislason Group,2020-09-08,2021-09-07,Classic,North America,Christopher Little,20988,364,21045.66
1540,Mann - Hane,2020-09-03,2023-09-02,Elite Plus,Asia,Dana Henderson,62931,1094,20996.17
1982,"Mills, Ziemann and Pfeffer",2021-04-27,2022-04-26,Elite Plus,North America,Celia Clayton,20775,364,20832.07
1325,Stiedemann Group,2022-02-27,2024-02-26,Elite Plus,North America,Alice Cole,41568,729,20812.51
108,"Hayes, Wilderman and Cremin",2021-01-17,2021-02-16,Classic,Latin America,Alton Hunt,1709,30,20792.83
5379,Dicki - Wilderman,2023-11-30,2024-11-29,Elite Plus,North America,John Sacker,20739,365,20739.0
6698,Lemke - Muller,2021-09-23,2022-09-22,Classic,Asia,Lonnie May,20674,364,20730.8
5692,Dietrich - Klocko,2021-08-19,2022-08-18,Elite Plus,Asia,Angelo Payne,20547,364,20603.45
5952,Schuster and Sons,2020-08-10,2021-08-09,Elite Plus,North America,John Sacker,20497,364,20553.31
6535,Marquardt - McClure,2020-02-11,2021-02-10,Classic,North America,Angelo Payne,20502,365,20502.0
894,Kunze LLC,2021-07-18,2022-07-17,Classic,North America,John Sacker,20362,364,20417.94
5606,Funk LLC,2020-08-20,2021-08-19,Elite Plus,Europe,Tomas Glover,20302,364,20357.77
1785,"Heathcote, Oberbrunner and Considine",2021-03-09,2022-03-08,Elite Plus,North America,Grant Cortez,20258,364,20313.65
283,"Pacocha, McCullough and Stroman",2021-02-23,2022-02-22,Classic,North America,Christopher Little,20202,364,20257.5
3438,Terry - Kovacek,2021-10-01,2022-10-01,Classic,North America,Lonnie May,20248,365,20248.0
8075,"Bogisich, Welch and Beahan",2019-10-30,2020-10-29,Classic,Asia,Judy Jacobs,20182,365,20182.0
5719,Feil - Breitenberg,2021-10-28,2022-10-27,Elite Plus,North America,Judy Jacobs,20018,364,20072.99
4515,Zemlak Group,2021-04-09,2022-09-08,Elite Plus,North America,Celia Clayton,28387,517,20041.11
2638,"Mayert, Murazik and Ernser",2021-09-18,2022-09-17,Elite Plus,North America,Jerald James,19977,364,20031.88
331,Pouros - Ward,2020-08-08,2021-08-07,Elite Plus,North America,Karl Long,19955,364,20009.82
7493,"Wintheiser, Howe and Wisoky",2018-06-20,2019-06-19,Classic,North America,John Sacker,19942,364,19996.79
1481,"Cummings, Pollich and Hoppe",2020-07-27,2021-07-26,Elite Plus,North America,Ross Hines,19905,364,19959.68
1147,"Hahn, Nienow and Baumbach",2020-09-29,2021-09-28,Classic,Asia,Christopher Little,19798,364,19852.39
827,Schimmel LLC,2022-09-19,2023-09-18,Elite Plus,North America,Ramon Garcia,19690,364,19744.09
2045,Ondricka - Sipes,2021-02-11,2022-02-10,Elite Plus,North America,Grant Cortez,19656,364,19710.0
666,"Goodwin, O'Reilly and Buckridge",2021-01-08,2022-01-07,Elite Plus,North America,Judy Jacobs,19568,364,19621.76
3358,"Hermann, Hilll and Klein",2020-02-07,2021-02-05,Elite Plus,North America,Cecelia Burgess,19539,364,19592.68
6594,Ondricka - Casper,2021-03-24,2021-12-18,Elite Plus,North America,Sonja Griffin,14410,269,19552.6
4780,"Hermiston, Weimann and Lemke",2020-12-05,2021-12-04,Elite Plus,North America,Ross Hines,19346,364,19399.15
5206,"McGlynn, Wuckert and Marvin",2021-08-14,2022-01-03,Classic,North America,Celia Clayton,7514,142,19314.15
2328,"Smitham, Hintz and Hamill",2022-07-31,2023-07-30,Elite Plus,North America,Celia Clayton,19243,364,19295.87
629,"Goodwin, O'Reilly and Buckridge",2019-11-14,2020-11-13,Elite Plus,North America,Judy Jacobs,19286,365,19286.0
2341,Schmitt - Herman,2020-09-21,2021-09-20,Elite Plus,North America,Alton Hunt,19228,364,19280.82
7892,Rau Group,2019-09-17,2020-09-16,Classic,North America,Sonja Griffin,19169,365,19169.0
5954,Schuster and Sons,2021-09-08,2022-09-07,Elite Plus,North America,John Sacker,19113,364,19165.51
2327,"Smitham, Hintz and Hamill",2021-10-29,2022-10-28,Elite Plus,North America,Celia Clayton,18998,364,19050.19
2722,"Gillespie, Ankunding and Schuster",2020-05-30,2021-05-30,Classic,North America,Micheal Williams,18955,365,18955.0
5389,Chechauski Inc,2021-08-03,2022-08-02,Elite Plus,North America,Christopher Little,18857,364,18908.8
2598,O'Kon - Trantow,2021-10-23,2022-10-23,Classic,Asia,Tomas Glover,18890,365,18890.0
6643,"Oberbrunner, Ritchie and Labadie",2020-02-18,2021-02-17,Elite Plus,Europe,Cecelia Burgess,18826,365,18826.0
1403,Cronin - Lehner,2022-10-04,2023-10-03,Elite Plus,North America,Karl Long,18677,364,18728.31
2277,"Hintz, Bogan and Breitenberg",2022-11-07,2024-11-06,Elite Plus,Europe,Marsha Aguilar,37375,730,18687.5
665,"Goodwin, O'Reilly and Buckridge",2020-11-17,2021-11-16,Elite Plus,North America,Judy Jacobs,18628,364,18679.18
4891,MacGyver - Mackerrel,2021-11-11,2022-11-10,Classic,North America,Alice Cole,18617,364,18668.15
616,"Jacobs, Howe and Bahringer",2022-01-15,2023-01-14,Elite Plus,Latin America,Patty Ingram,18576,364,18627.03
4901,Muller - Spinka,2021-09-24,2024-09-24,Classic,North America,Marsha Aguilar,55682,1096,18543.73
3645,Lakin - Glover,2020-05-15,2021-05-14,Elite Plus,North America,Phil Baker,18409,364,18459.57
2161,"Kautzer, Bartell and Schmeler",2022-01-22,2023-01-21,Elite Plus,Asia,Jerald James,18351,364,18401.41
670,"Goodwin, O'Reilly and Buckridge",2020-12-06,2021-12-05,Elite Plus,North America,Judy Jacobs,18248,364,18298.13
6666,Lindgren and Sons,2022-08-20,2023-08-20,Elite Plus,North America,Walter Sacha,18255,365,18255.0
3969,"Hessel, Koss and Littel",2020-08-28,2021-08-27,Classic,North America,Karl Long,18150,364,18199.86
456,Leuschke Group,2020-07-14,2021-07-13,Elite Plus,North America,Grant Cortez,18136,364,18185.82
1471,"Cummings, Pollich and Hoppe",2020-02-27,2021-02-25,Elite Plus,North America,Ross Hines,18046,364,18095.58
